,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,VWAP,Day_Per_Change,Trend
364,MINDTREE,EQ,2018-10-31,786.15,794.0,859.9,793.0,855.0,850.85,830.48,2718167,2257375004.2,77643,509677,18.75,2018,10,842.2801705326711,8.229981555682752,Bull run
365,MINDTREE,EQ,2018-11-01,850.85,861.0,861.0,821.15,830.55,827.1,834.5,1200947,1002189938.3,45394,229345,19.1,2018,11,842.2429538211752,-2.7913263207380856,Negative
366,MINDTREE,EQ,2018-11-02,827.1,838.0,844.8,800.1,803.5,803.95,825.52,1562276,1289696476.3,50229,466704,29.87,2018,11,842.1212143973664,-2.7989360415910935,Negative
367,MINDTREE,EQ,2018-11-05,803.95,790.7,825.5,787.1,823.5,821.85,813.94,1363257,1109603364.25,41150,161838,11.87,2018,11,842.0651342715266,2.2265066235462427,Positive
368,MINDTREE,EQ,2018-11-06,821.85,824.95,841.4,819.5,831.6,834.6,832.41,1291465,1075027869.0,34733,476202,36.87,2018,11,842.045620777946,1.5513779886840773,Positive
369,MINDTREE,EQ,2018-11-07,834.6,839.0,840.7,830.0,835.0,836.6,837.22,98291,82290730.0,4216,15053,15.31,2018,11,842.0445376256555,0.23963575365444356,Slight or No change
370,MINDTREE,EQ,2018-11-09,836.6,830.0,867.0,830.0,853.85,854.3,854.28,1432318,1223600142.25,45762,421156,29.4,2018,11,842.0799569733796,2.1157064307912865,Positive
371,MINDTREE,EQ,2018-11-12,854.3,859.0,869.8,846.1,862.9,863.4,858.89,993623,853415121.75,32116,271032,27.28,2018,11,842.1226160327437,1.0651995786023605,Positive
372,MINDTREE,EQ,2018-11-13,863.4,861.5,868.0,837.0,845.0,843.75,849.58,651556,553550932.45,26359,131469,20.18,2018,11,842.1247484583919,-2.275886031966645,Negative
373,MINDTREE,EQ,2018-11-14,843.75,844.95,851.6,831.9,840.0,846.75,840.76,800201,672777598.25,25432,177711,22.21,2018,11,842.1321798170702,0.3555555555555534,Slight or No change
374,MINDTREE,EQ,2018-11-15,846.75,835.05,851.45,832.6,839.85,840.4,841.77,635572,535006607.5,22596,104367,16.42,2018,11,842.129972129362,-0.7499261883672892,Slight negative
375,MINDTREE,EQ,2018-11-16,840.4,840.0,854.5,831.0,837.0,837.4,839.52,960984,806768479.95,27146,390309,40.62,2018,11,842.1208747031811,-0.35697287006187794,Slight or No change
376,MINDTREE,EQ,2018-11-19,837.4,846.0,853.0,839.15,844.9,848.7,847.55,610680,517581140.6,25704,97206,15.92,2018,11,842.1289061754992,1.3494148555051488,Positive
377,MINDTREE,EQ,2018-11-20,848.7,848.7,854.2,835.0,835.5,836.5,841.14,1043524,877754563.25,36386,256175,24.55,2018,11,842.1171886807834,-1.437492635795934,Negative
378,MINDTREE,EQ,2018-11-21,836.5,838.0,838.05,805.1,836.0,830.4,817.33,1895611,1549333964.05,61329,424479,22.39,2018,11,842.0730477185846,-0.7292289300657506,Slight negative
379,MINDTREE,EQ,2018-11-22,830.4,830.4,854.7,823.0,830.0,828.85,841.8,1466895,1234829858.95,33963,216167,14.74,2018,11,842.0346119532876,-0.18665703275528855,Slight or No change
380,MINDTREE,EQ,2018-11-26,828.85,830.0,843.0,819.0,840.25,837.1,831.17,933348,775773200.7,26318,143435,15.37,2018,11,842.0255023582337,0.995355009953558,Slight positive
381,MINDTREE,EQ,2018-11-27,837.1,842.0,848.0,820.0,824.0,824.1,827.69,1220238,1009984085.7,46974,535631,43.9,2018,11,841.9823433517209,-1.5529805280133813,Negative
382,MINDTREE,EQ,2018-11-28,824.1,827.0,881.1,822.35,871.0,874.75,853.78,2305804,1968646325.35,57478,551698,23.93,2018,11,842.1307495104224,6.146098774420583,Among top gainers
383,MINDTREE,EQ,2018-11-29,874.75,876.0,877.95,845.2,852.0,850.1,856.44,2045062,1751474159.3,49848,720635,35.24,2018,11,842.1626330909568,-2.8179479851386136,Negative
384,MINDTREE,EQ,2018-11-30,850.1,855.0,884.0,848.0,880.0,876.65,867.24,1519665,1317914700.8,36413,325576,21.42,2018,11,842.2648591923403,3.123161980943423,Among top gainers
385,MINDTREE,EQ,2018-12-03,876.65,883.9,897.55,865.0,894.5,893.45,881.78,1287294,1135112617.9,27562,184053,14.3,2018,12,842.3930587238764,1.916386243084478,Positive
386,MINDTREE,EQ,2018-12-04,893.45,894.5,899.8,880.85,882.75,885.35,890.37,1157865,1030928025.3,37211,223697,19.32,2018,12,842.4896146177642,-0.9065980189154388,Slight negative
387,MINDTREE,EQ,2018-12-05,885.35,882.0,883.9,864.6,872.9,871.15,871.61,701305,611267261.85,23036,156442,22.31,2018,12,842.5285805988397,-1.6038854690235582,Negative
388,MINDTREE,EQ,2018-12-06,871.15,869.0,911.95,843.0,861.0,861.3,872.01,4125356,3597338157.35,104052,804251,19.5,2018,12,842.6775152367813,-1.1306893187166378,Negative
389,MINDTREE,EQ,2018-12-07,861.3,862.0,875.0,845.05,863.4,867.65,861.01,1096535,944127672.5,34084,229422,20.92,2018,12,842.730069323935,0.7372576338093628,Slight positive
390,MINDTREE,EQ,2018-12-10,867.65,856.0,872.25,843.9,851.5,858.1,857.8,821259,704473102.45,23779,68764,8.37,2018,12,842.7542567865107,-1.1006742350025855,Negative
391,MINDTREE,EQ,2018-12-11,858.1,842.2,874.65,842.2,860.85,861.75,864.13,748458,646764429.35,21555,100989,13.49,2018,12,842.7814612127969,0.42535834984267495,Slight or No change
392,MINDTREE,EQ,2018-12-12,861.75,862.0,895.5,861.25,877.0,880.65,879.21,1066840,937975449.3,25408,171395,16.07,2018,12,842.858606259496,2.193211488250646,Positive
393,MINDTREE,EQ,2018-12-13,880.65,882.0,889.15,852.35,854.0,858.8,867.1,1043497,904817134.7,43986,282354,27.06,2018,12,842.890308005698,-2.481121898597627,Negative
394,MINDTREE,EQ,2018-12-14,858.8,860.0,873.3,850.0,865.0,867.9,864.25,956017,826241192.9,33018,142413,14.9,2018,12,842.9357910071161,1.0596180717279857,Positive
395,MINDTREE,EQ,2018-12-17,867.9,870.0,874.0,856.6,868.0,870.05,865.92,497718,430981850.2,18576,73523,14.77,2018,12,842.9614384722779,0.24772439221107945,Slight or No change
